Database	TOTAL
Pronunciation types	28754
Pronunciation tokens	690110
ORTHOGRAPHY	PRONUNCIATION	COUNT	P(P|W)
bist	bs	2	3.508772e-02
bist	mIst	1	1.754386e-02
bist	bIS	2	3.508772e-02
bist	bIz	3	5.263158e-02
bist	bIsp	1	1.754386e-02
Bistro	bIstro:	42	1.000000e+00
bit	bIt	2	1.000000e+00
Bit	bIt	2	1.000000e+00
Bitfehler	bItfe:l6	1	1.000000e+00
Bits	bIts	2	1.000000e+00
bitt	bI	1	5.000000e-01
bitt	bIt	1	5.000000e-01
bitte	bId@	13	1.321138e-02
bitte	bIt	33	3.353659e-02
bitte	bIt@	890	9.044715e-01
bitte	mIt	1	1.016260e-03
bitte	mIt@	47	4.776423e-02
Bitte	bIt@	2	1.000000e+00
bitten	bIt@N	1	2.222222e-02
bitten	bIQn	6	1.333333e-01
bitten	bIt@n	21	4.666667e-01
bitten	bItm	1	2.222222e-02
bitten	bItn	16	3.555556e-01
Bitterfeld	bIt6fElt	2	1.000000e+00
Bitzfeld	bItsfEl	1	1.000000e+00
bla	bla:	9	1.000000e+00
Bla	bla:	1	1.000000e+00
BlackMagicWoman	blEkmEtSIkvUm@n	1	1.000000e+00
Bla-Damm	bladam	1	1.000000e+00
bladen	bla:d@n	1	1.000000e+00
Blades	bla:@s	1	1.000000e+00
blak	blak	1	1.000000e+00
blasen	bla:zn	1	1.000000e+00
blassen	blasn	1	1.000000e+00
blatt	blat	1	1.000000e+00
Blatt	blat	2	1.000000e+00
Bl"atter	blEt6	1	1.000000e+00
bl"attere	blEt@r@	4	1.000000e+00
bl"attern	blEt6	2	3.333333e-01
bl"attern	blEt6n	4	6.666667e-01
Bl"attern	blEt6n	1	1.000000e+00
bl"atterst	blEt6s	1	1.000000e+00
blau	blaU	4	1.000000e+00
Blaue	blaU@	1	1.000000e+00
blauen	blaUn	1	1.000000e+00
Blauen	blaUn	1	1.000000e+00
blaumachen	blaUmaxn	1	1.000000e+00
blei	blaI	1	1.000000e+00
bleib	blaIp	1	1.000000e+00
bleibe	blaIb	6	6.000000e-01
bleibe	blaIb@	4	4.000000e-01
bleiben	blaIm	84	5.090909e-01
bleiben	blaIb@m	1	6.060606e-03
bleiben	blaIbm	22	1.333333e-01
bleiben	baIbm	2	1.212121e-02
bleiben	blaIbn	5	3.030303e-02
bleiben	blaIb@n	42	2.545455e-01
bleiben	baIb@n	1	6.060606e-03
bleiben	baIm	8	4.848485e-02
bleibt	blaIp	86	7.478261e-01
bleibt	baIp	10	8.695652e-02
bleibt	blaIpt	19	1.652174e-01
blendend	blEnhnt	1	5.000000e-01
blendend	blEnd@nt	1	5.000000e-01
bler	bl6	1	1.000000e+00
Blick	blIk	9	1.000000e+00
blieb	bli:p	1	1.000000e+00
bliebe	bli:b	5	2.631579e-01
bliebe	bli:b@	14	7.368421e-01
blieben	bli:bm	1	3.333333e-01
blieben	bli:m	2	6.666667e-01
blind	blIn	1	1.000000e+00
blinkt	blINk	1	1.000000e+00
Blitzen	bli:tsn	1	1.000000e+00
blitzschnell	bli:tSnEl	1	1.000000e+00
blo	blo	1	1.000000e+00
bloc	blOk	2	1.000000e+00
block	blOk	1	1.000000e+00
Block	blOk	17	1.000000e+00
Bl"ocke	bl9k@	3	1.000000e+00
Bl"ocken	bl9kN	1	1.000000e+00
blockiere	blOki:r@	1	1.000000e+00
blockiert	blOki:6t	18	1.000000e+00
Blocks	blOks	1	1.000000e+00
Blockseminar	blOkzemina:r	4	1.000000e+00
Blockseminare	blOkzemina:r@	3	1.000000e+00
bl"od	bl2:t	20	1.000000e+00
bl"ode	bl2:d	2	2.000000e-01
bl"ode	bl2:d@	8	8.000000e-01
Bl"ode	bl2:d	2	1.000000e+00
bl"oden	bl2:dn	4	5.714286e-01
bl"oden	bl2:d@n	3	4.285714e-01
bl"oder	bl2:d6	1	1.000000e+00
bl"oderweise	bl2:d6vaIz@	1	1.000000e+00
bl"odes	bl2:d@s	1	1.000000e+00
Bl"odsinn	bl2:tzIn	3	7.500000e-01
Bl"odsinn	bl2:tsIn	1	2.500000e-01
bl"odsinnige	bl2:tzInIg@	1	1.000000e+00
Blondes	blOnd@s	1	1.000000e+00
blos	bo:s	1	1.000000e+00
blo"s	bo:s	26	4.642857e-01
blo"s	blo:s	30	5.357143e-01
blo"sen	blo:sn	1	1.000000e+00
blub	blUp	1	1.000000e+00
bl"uht	bly:t	2	1.000000e+00
Bl"um	bly:m	1	1.000000e+00
Blumen	blu:m@n	1	5.000000e-01
Blumen	blu:m	1	5.000000e-01
Blumenstra"se	blu:m@nStra:s@	1	1.000000e+00
Blumenthalstra"se	blu:m@nta:lStra:s@	1	1.000000e+00
Blum-Stra"se	blu:mStra:s@	1	1.000000e+00
Blutspende	blu:tSpEnd@	1	1.000000e+00
Blutspenden	blu:tSpEnhn	1	1.000000e+00
Blutspende-Termin	blu:tSpEn@tE6mi:n	1	1.000000e+00
Blutungen	blu:tUNN	1	1.000000e+00
$B-$M	be:QEm	1	1.000000e+00
$B-$M-$F-$T	be:QEmQEfte:	2	1.000000e+00
bo	bo	1	1.000000e+00
b"o	b2:	1	1.000000e+00
boa	boa	1	1.000000e+00
boah	boa:	2	1.000000e+00
Bob	bOb	6	1.000000e+00
Bobby	bObi	2	1.000000e+00
Bobitsch	bo:bItS	1	1.000000e+00
Bochum	bo:xUm	6	1.000000e+00
Bock	bOk	1	1.000000e+00
Boden	bo:d@n	3	4.285714e-01
Boden	bo:dn	4	5.714286e-01
Bodenpersonal	bo:dnpE6zonal	1	1.000000e+00
Bodensee	bo:dnze:	2	1.000000e+00
B"oer	b2:6	1	1.000000e+00
Bogen	bo:g@n	1	1.000000e+00
Bogenhausen	bo:gnhaUzn	1	1.000000e+00
B"ohle	b2:l@	2	1.000000e+00
B"ohmsche-Brauhaus	b2:mS@braUhaUs	1	1.000000e+00
B"ohmsches-Brauhaus	b2:mS@sbraUhaUs	1	1.000000e+00
Bohne	bo:n@	1	1.000000e+00
Bohnen	bo:n	1	1.000000e+00
b"oiger	b2:Ig6	1	1.000000e+00
B"ollerlein	b9l6laIn	1	1.000000e+00
Bollinger	bOlIN6	1	1.000000e+00
Bombe	bOmb@	1	1.000000e+00
Bombenkrieg	bOmb@nkri:k	1	1.000000e+00
Bonn	bOm	10	4.761905e-02
Bonn	bOn	200	9.523810e-01
Bonner	bOn6	2	1.000000e+00
B"onsch	b9nS	3	1.000000e+00
Boot	bo:t	1	1.000000e+00
Bord	bO6t	1	5.000000e-01
Bord	bO6	1	5.000000e-01
Bordrestaurant	bO6trEstora~:	1	1.000000e+00
Borghoff	bO6khOf	9	1.000000e+00
Boris	bo:rIs	1	1.000000e+00
Borucki	borUki	1	1.000000e+00
Borussia	borUsja	3	1.000000e+00
Bo"s	bOs	2	1.000000e+00
b"ose	b2:z@	3	1.000000e+00
Botanischen-Garten	bota:nISngart@n	1	1.000000e+00
B"otchen	b2:tCn	1	1.000000e+00
b"ote	b2:t@	5	1.000000e+00
Boten	bo:tn	1	1.000000e+00
Boutiquen	buti:kN	1	5.000000e-01
Boutiquen	buti:k@n	1	5.000000e-01
Bowlen	bo:ln	1	1.000000e+00
Boy	bOY	6	1.000000e+00
Boyer-Moore-Algorithmus	bOY6mu:6algorIpmUs	1	1.000000e+00
br	br	1	1.000000e+00
br"achten	brECtn	1	1.000000e+00
Brainstorm	bre:nstO6m	1	1.000000e+00
$B-$R-Alpha	be:QErQalfa	1	1.000000e+00
Brandenburg	brann@nbU6k	1	5.000000e-01
Brandenburg	brannbU6k	1	5.000000e-01
brandenburgische	brannbU6gIS@	1	1.000000e+00
brandenburgischen	brannbU6gIS@n	1	1.000000e+00
Brandnertal	brann6ta:	1	1.000000e+00
Brandt	brant	6	1.000000e+00
brasilianisch	brazilja:nIS	2	1.000000e+00
brau	braU	1	1.000000e+00
br"au	brOY	2	1.000000e+00
brauch	braUx	1	2.500000e-01
brauch	braU	1	2.500000e-01
brauch	praUx	1	2.500000e-01
brauch	braUh	1	2.500000e-01
br"auch	brOYC	1	1.000000e+00
brauche	braUx	26	2.148760e-01
brauche	baUx@	7	5.785124e-02
brauche	baUx	3	2.479339e-02
brauche	braUx@	83	6.859504e-01
brauche	praUx	1	8.264463e-03
brauche	praUx@	1	8.264463e-03
brauchen	braUxm	19	5.900621e-02
brauchen	braUx	23	7.142857e-02
brauchen	braUxn	31	9.627329e-02
brauchen	baUxN	12	3.726708e-02
brauchen	brauxn	1	3.105590e-03
brauchen	baUx@n	18	5.590062e-02
brauchen	baUx	8	2.484472e-02
brauchen	braux	1	3.105590e-03
brauchen	braux@n	2	6.211180e-03
brauchen	braUxN	74	2.298137e-01
brauchen	baUxm	1	3.105590e-03
brauchen	praUx	1	3.105590e-03
brauchen	braUx@n	118	3.664596e-01
brauchen	praUxN	3	9.316770e-03
brauchen	baUxn	4	1.242236e-02
brauchen	brauxN	2	6.211180e-03
brauchen	praUx@n	4	1.242236e-02
brauchst	braUxst	1	1.428571e-01
brauchst	baUxs	1	1.428571e-01
brauchst	braUxs	5	7.142857e-01
braucht	braUx	15	3.000000e-01
braucht	baUxt	2	4.000000e-02
braucht	baUx	1	2.000000e-02
braucht	braUxt	30	6.000000e-01
braucht	praUxt	1	2.000000e-02
braucht	praUx	1	2.000000e-02
brauchte	braUxt@	3	5.000000e-01
brauchte	braUxt	2	3.333333e-01
brauchte	baUxt@	1	1.666667e-01
br"auchte	prOYCt@	3	3.488372e-02
br"auchte	brOYCt	21	2.441860e-01
br"auchte	brOYCd@	2	2.325581e-02
br"auchte	brOYCt@	60	6.976744e-01
brauchten	braUxtn	2	1.000000e+00
br"auchten	brOYCt@n	6	1.071429e-01
br"auchten	brOYCtm	1	1.785714e-02
br"auchten	brOYCt	7	1.250000e-01
br"auchten	brOYCtn	40	7.142857e-01
br"auchten	brOYCt@N	1	1.785714e-02
br"auchten	prOYCtn	1	1.785714e-02
Brauer	praU6	1	5.000000e-01
Brauer	braU6	1	5.000000e-01
Brauerei	braU@raI	2	1.000000e+00
braun	braUn	2	1.000000e+00
br"aunen	brOYnn	1	5.000000e-01
br"aunen	brOYn@n	1	5.000000e-01
braungebrannt	braUng@brant	1	1.000000e+00
braungebrannte	praUng@brant@	1	1.000000e+00
Braunschweig	braUnSvaIk	8	8.888889e-01
Braunschweig	braUnSvaIC	1	1.111111e-01
brausen	braUzn	1	1.000000e+00
brav	bra:f	2	1.000000e+00
breche	brEC@	1	1.000000e+00
brechen	brECn	2	1.000000e+00
breit	praIt	1	5.000000e-01
breit	braIt	1	5.000000e-01
Breit	braI	2	1.052632e-01
Breit	braIt	17	8.947368e-01
breiten	braItn	1	1.000000e+00
breitgeschlagen	braItg@Sla:g@n	1	1.000000e+00
Bremen	pre:m@n	1	1.250000e-01
Bremen	bre:m	3	3.750000e-01
Bremen	bre:m@n	4	5.000000e-01
bremsen	brEms@n	1	1.000000e+00
brennendes	brEn@n@s	1	1.000000e+00
Brenner	brEn6	6	1.000000e+00
bretonischen	breto:nIS@n	1	1.000000e+00
Bretten	brEt@n	1	1.000000e+00
Breuer	brOY6	5	1.000000e+00
Breuler	brOYl6	2	1.000000e+00
Brezen	bre:tsn	1	1.000000e+00
bri	brI	1	1.000000e+00
Brib	brIp	1	1.000000e+00
bricht	brIC	1	1.000000e+00
brick	brIk	1	1.000000e+00
Brick	brIk	1	1.000000e+00
Brief	pri:f	1	1.428571e-01
Brief	bri:f	6	8.571429e-01
Briefchen	bri:fC@n	1	5.000000e-01
Briefchen	bri:fCn	1	5.000000e-01
Briefe	pri:f	1	8.333333e-02
Briefe	bri:f@	11	9.166667e-01
Brieffreundin	bri:ffrOYnIn	2	1.000000e+00
Briefing	bri:fIN	2	1.000000e+00
Briefkasten	bri:fkastn	1	1.000000e+00
Brieflein	bri:flaIn	1	1.000000e+00
Briefroman	bri:froma:n	1	1.000000e+00
Brieftr"agerin	bri:ftrE:g@rIn	1	1.000000e+00
Brieg	bri:k	2	1.000000e+00
brig	brI	1	1.000000e+00
Brigitte	brigIt@	1	1.000000e+00
Brille	brIl@	2	1.000000e+00
bring	brIN	1	1.000000e+00
bringe	brIN	4	5.000000e-01
bringe	brIN@	4	5.000000e-01
bringen	brINN	29	4.202899e-01
bringen	brIN	4	5.797101e-02
bringen	prINn	1	1.449275e-02
bringen	brIN@n	27	3.913043e-01
bringen	prIN@n	3	4.347826e-02
bringen	brINm	1	1.449275e-02
bringen	prINN	3	4.347826e-02
bringen	prIN	1	1.449275e-02
bringt	brIN	1	8.333333e-02
bringt	prINt	2	1.666667e-01
bringt	brINt	9	7.500000e-01
brisant	brizant	1	1.000000e+00
brisanter	brizant6	1	1.000000e+00
britbringen	brItbrINN	1	1.000000e+00
British-Airways	brItISE6weIz	5	1.000000e+00
Britschow	brItSo:	4	1.000000e+00
Broca	brOka	1	1.000000e+00
Brohl	bro:l	5	1.000000e+00
Brosch"ure	brOSy:r@	4	1.000000e+00
Brosch"uren	brOSy:r@n	2	1.000000e+00
Br"osel	pr2:z@l	1	5.000000e-01
Br"osel	br2:z@l	1	5.000000e-01
Brot	bro:t	1	1.000000e+00
Br"otchen	br2:tCn	2	5.000000e-01
Br"otchen	br2:tC@n	2	5.000000e-01
Brotzeit	pro:ttsaIt	1	1.000000e+00
BruceWillis	bru:svIlIs	1	1.000000e+00
br"uck	brYk	1	1.000000e+00
Br"ucke	brYk@	12	1.000000e+00
Br"ucken	brYkN	4	2.000000e-01
Br"ucken	brYk@n	16	8.000000e-01
Br"uckenfest	prYknfEs	1	1.000000e+00
Br"uckenkopf	brYk@nkOpf	1	1.000000e+00
Bruder	bru:d6	9	8.181818e-01
Bruder	pru:d6	2	1.818182e-01
br"ullt	brYl	1	1.000000e+00
Brunchen	branSn	2	1.000000e+00
Brunnen	brUnn	1	1.000000e+00
Br"ussel	brYsl	1	1.250000e-01
Br"ussel	brYs@l	7	8.750000e-01
brutal	bruta:l	1	1.000000e+00
brutalen	bruta:l	1	1.000000e+00
Bub	bu:p	1	1.000000e+00
bubstabiere	bu:pStabi:r@	1	1.000000e+00
Buch	bu:x	19	1.000000e+00
buche	bu:x@	27	3.552632e-01
buche	bu:x	49	6.447368e-01
buchen	bu:xN	50	1.639344e-01
buchen	bu:x	1	3.278689e-03
buchen	bu:xm	9	2.950820e-02
buchen	bu:x@m	2	6.557377e-03
buchen	bu:xn	37	1.213115e-01
buchen	bu:x@n	206	6.754098e-01
B"ucher	by:C6	37	1.000000e+00
B"ucherei	by:C6raI	2	1.000000e+00
B"uchern	by:C6n	4	1.000000e+00
B"ucherregale	by:C6rega:l@	1	1.000000e+00
B"uchertragen	by:C6tra:N	1	1.000000e+00
Buchhaltung	bu:xhaltUN	1	1.000000e+00
buchs	bu:xs	1	1.000000e+00
Buchsch	bu:xS	1	1.000000e+00
Buchsendung	bu:xzEndUN	1	1.000000e+00
buchspa	bu:xSpa	1	1.000000e+00
buchst	bu:xs	1	1.000000e+00
Buchstaben	bu:xSta:m	1	1.000000e+00
buchstabiere	bu:xStabi:rI	4	3.883495e-02
buchstabiere	bu:xSabi:r@	5	4.854369e-02
buchstabiere	bu:xStabi:r@	94	9.126214e-01
buchstabieren	bu:xStabi:rn	1	5.555556e-02
buchstabieren	bu:xStabi:r@n	17	9.444444e-01
Buchstabiererei	bu:xStabi:r@raI	1	1.000000e+00
buchstabiert	bu:xSabi:6t	3	5.454545e-02
buchstabiert	bu:xStabi:6t	52	9.454545e-01
Buchstabierung	bu:xStabi:rUN	1	1.000000e+00
bucht	bu:xt	13	8.666667e-01
bucht	bu:x	2	1.333333e-01
Buchung	bu:xU	1	4.000000e-02
Buchung	bu:xUN	24	9.600000e-01
buchungen	bu:xUNN	1	1.000000e+00
Buchungen	bu:xUN@n	1	5.000000e-01
Buchungen	bu:xUNN	1	5.000000e-01
Buchungsbest"atigung	bu:xUNsb@Ste:tIgUN	1	1.000000e+00
Buckelwale	bUk@lva:l@	1	1.000000e+00
Budget	bYdZe:	11	1.000000e+00
Budgets	bYdZe:s	1	1.000000e+00
buffet	bYfe:	1	1.000000e+00
Buffet	bYfe:	4	1.000000e+00
B"uhne	by:n@	21	1.000000e+00
Bulmahn	bu:lman	18	1.000000e+00
Bummel	bUm@l	1	1.000000e+00
bummeln	bUm@ln	3	1.000000e+00
Bummeln	bUm@ln	1	1.000000e+00
Bummelzug	bUm@ltsu:k	1	1.000000e+00
Bundesbahn	bUnd@sba:n	1	3.333333e-01
Bundesbahn	bUn@sba:n	2	6.666667e-01
Bundesgebiet	bUn@sg@bi:t	1	1.000000e+00
Bundeskanzler	bUnd@skantsl6	2	1.000000e+00
Bundesl"ander	bUnd@slEn6	1	1.000000e+00
Bundesl"andern	bUnd@slEn6n	1	1.000000e+00
Bundesregierung	bUnd@srEgi:UN	1	1.000000e+00
Bundesrepublik	bUnd@srepubli:k	1	1.000000e+00
bundesweite	bUn@svaIt@	1	1.000000e+00
bundweise	bUntvaIz@	1	1.000000e+00
bunt	bUnt	1	5.000000e-01
bunt	bUn	1	5.000000e-01
Buntstiften	bUntStIft@n	1	1.000000e+00
Burg	bU6k	6	1.000000e+00
burger	b96g6	1	1.000000e+00
Burger	b96g6	13	1.000000e+00
BurgerKing	b2:6g6kIN	1	1.000000e+00
B"urgermeister	bY6g6maIst6	1	1.000000e+00
Burn-In-Effekt	b96nQInEfEk	1	1.000000e+00
B"uro	byro:	82	9.111111e-01
B"uro	bYro:	8	8.888889e-02
B"urojob	byro:dZOp	1	1.000000e+00
B"uros	byro:s	1	1.000000e+00
Burschi	bU6Si	1	1.000000e+00
Bus	bUs	35	9.722222e-01
Bus	bUz	1	2.777778e-02
Busbahnhof	bUsba:nho:f	1	1.000000e+00
busch	bUS	1	1.000000e+00
Busfahrplan	bUsfa:rpla:n	2	1.000000e+00
Bushaltestelle	bUshalt@StEl@	2	1.000000e+00
Busine"s	bIsn@s	2	1.000000e+00
Busine"s-Ticket	bIsn@stIk@t	1	1.000000e+00
Buslinie	bUsli:nj@	2	6.666667e-01
Buslinie	bUslInj@	1	3.333333e-01
Bu"smonat	bu:smo:nat	1	1.000000e+00
Busnetz	bUsnEts	1	1.000000e+00
Busplan	bUspla:n	2	1.000000e+00
Busreise	bUsraIz@	1	1.000000e+00
Busse	bUs@	3	1.000000e+00
Bussen	bUsn	1	3.333333e-01
Bussen	bUs@n	2	6.666667e-01
BusStop	basstOb	1	1.000000e+00
Bu"stag	bu:sta:k	1	1.000000e+00
Bustransfer	bUstransfe:6	1	1.000000e+00
Bu"s-und-Bettag	bu:sUntbe:tta:x	4	2.666667e-01
Bu"s-und-Bettag	bu:sUntbe:tta:k	10	6.666667e-01
Bu"s-und-Bettag	bu:sntbe:tta:x	1	6.666667e-02
Busverbindung	bUsfE6bIndUN	2	1.000000e+00
Busverbindungen	bUsfE6bInnUN@n	1	3.333333e-01
Busverbindungen	bUsfE6bIndUN@N	1	3.333333e-01
Busverbindungen	bUsfE6bIndUN@n	1	3.333333e-01
But	bUt	1	1.000000e+00
ButenundBinnennachrichten	bu:tnQUntbIn@nna:xrICt@N	1	1.000000e+00
Butler	batl6	4	1.000000e+00
Butter	bUd6	1	1.000000e+00
bye	baI	4	1.000000e+00
$B-$Z	be:tsEt	2	1.000000e+00
c	se:	1	1.000000e+00
$C	se:	9	5.590062e-02
$C	tse:	152	9.440994e-01
Cabriolet	kabriole:	1	1.000000e+00
Cafe	kaf@	1	4.166667e-02
Cafe	kafe:	23	9.583333e-01
Cafes	kafe:s	5	1.000000e+00
Cafeteria	kafet@ri:a	47	1.000000e+00
Cafeterias	kafet@ri:as	1	1.000000e+00
Cajeth	kaZEt	3	1.000000e+00
Cajeth-Museum	kaZEtmuze:Um	1	1.000000e+00
Calderos-de-Laclos	kalderOsde:laklo:s	1	1.000000e+00
Cambridge-Abschlu"s	ke:mbrItSQapSlUs	2	1.000000e+00
canceln	kEnts@ln	1	1.000000e+00
Capella-Vocale	kapElavoka:l@	1	1.000000e+00
Capuccino	kapUtSi:no	1	1.000000e+00
card	ka:rd	1	1.000000e+00
Carmen	karm	3	1.000000e+00
CarmenMcRae	karmnmEkre:	1	5.000000e-01
CarmenMcRae	karm@nmEkre:	1	5.000000e-01
caro	ka:ro	1	1.000000e+00
Carpenter	ka:rp@nt6	1	1.000000e+00
Carstens	karstns	1	1.000000e+00
C"asar	tsE:zar	3	1.000000e+00
cashier	kESI6	1	1.000000e+00
Casino	kazi:no	2	1.000000e+00
Casting	ka:stIN	3	1.000000e+00
$C-$D	tsede:	4	1.000000e+00
$C-$D-ROM	tse:de:rOm	2	1.000000e+00
$C-$D-ROM-Laufwerk	se:de:rOmlaUfvE6k	1	1.000000e+00
$C-$D-Roms	tse:de:rOms	1	1.000000e+00
$C-$Ds	tse:de:s	5	1.000000e+00
CeBit	tse:bI	2	1.428571e-01
CeBit	tse:bIt	12	8.571429e-01
CeBit-Messe	tse:bIpmEs@	1	1.000000e+00
Celle	tsEl@	9	1.000000e+00
Celsius	tsElzjUs	1	1.000000e+00
Cent	sEnt	1	1.000000e+00
Central	tsEntra:l	1	1.000000e+00
cetera	tse:t@ra	2	2.500000e-01
cetera	tsEt@ra	6	7.500000e-01
$C-$G-$I-Scripten	si:dZi:QaIskrIpt	1	1.000000e+00
ch	C	6	1.000000e+00
Champagner	Sampanj6	2	1.000000e+00
Champions-League	tSEmpj@nsli:k	1	1.000000e+00
Champions-League-Sieger	tSEmpj@nsli:kzi:g6	1	1.000000e+00
Chance	Sa~:s	10	5.263158e-01
Chance	Sa~:s@	9	4.736842e-01
Chancen	Sa~:s@n	1	3.333333e-01
Chancen	Sa~:sn	2	6.666667e-01
Chaos	ka:Os	3	1.000000e+00
chaotisch	kaQo:tIS	1	1.000000e+00
chaotischen	kaQo:tIS@n	1	1.000000e+00
Charles	tSa:ls	1	1.000000e+00
Charlotte	SarlOt@	2	1.000000e+00
Charts	tSarts	11	5.238095e-01
Charts	Sart	4	1.904762e-01
Charts	tSart	4	1.904762e-01
Charts	Sarts	2	9.523810e-02
Chauffeur	SOf2:6	4	1.000000e+00
che	x@	1	1.000000e+00
checke	tSEk	2	1.000000e+00
checken	tSEk@n	1	2.500000e-01
checken	tSEkn	1	2.500000e-01
checken	tSEkN	2	5.000000e-01
checkin	tSEkQIm	1	3.333333e-01
checkin	tSEkQIn	2	6.666667e-01
Check-In-Counter	tSEkQInkaUnt6	2	1.000000e+00
checkout	tSEkQaUt	1	1.000000e+00
checkst	tSEkst	2	1.000000e+00
Chef	SEf	33	1.000000e+00
Chefetage	SefQeta:Z@	1	1.000000e+00
Chefin	SEfIn	1	1.000000e+00
Chefs	SEfs	4	1.000000e+00
Chemie	Cemi:	1	1.000000e+00
Chemnitz	kEmnIts	3	1.000000e+00
Chez-Jacques	SeZak	1	1.000000e+00
chic	SIk	1	1.000000e+00
Chiemsee	ki:mze:	3	1.000000e+00
Chihuahua	tSiua:ua	1	1.000000e+00
China	Ci:na	2	1.000000e+00
Chinatown	tSaInataUn	5	1.000000e+00
chines	Cines	1	1.000000e+00
Chinese	Cine:z	1	1.000000e+00
Chinesen	Cine:zn	2	6.666667e-01
Chinesen	Cine:z@n	1	3.333333e-01
chinesisch	Cine:zIS	8	1.000000e+00
Chinesisch	Cine:zIS	1	1.000000e+00
chinesische	Cine:zIS@	7	1.000000e+00
chinesischen	Cine:zIS@n	1	2.500000e-01
chinesischen	Cine:zISn	3	7.500000e-01
chinesisches	Cine:zIS@	1	2.500000e-01
chinesisches	Cine:zIS@s	3	7.500000e-01
Chipkarte	tSIpkart@	1	1.000000e+00
Chipkarten	tSIpkart@n	2	1.000000e+00
Chor	ko:6	5	1.000000e+00
Chorfest	ko:6fEs	1	1.000000e+00
Chorleiter	ko:6laIt6	2	1.000000e+00
chotto	kOto	1	1.000000e+00
Chr	kr	1	1.000000e+00
Chris	krIs	9	1.000000e+00
Christ	krIst	2	1.000000e+00
Christa	krIsta	2	1.000000e+00
Christi	krIsti	1	1.000000e+00
Christian	krIstjan	8	1.000000e+00
Christiane	krIstja:ne	2	1.000000e+00
Christie	krIsti	1	1.000000e+00
Christi-Himmelfahrt	krIstihIm@lfa:rt	41	1.000000e+00
Christi-Himmelfahrt-Woche	krIstihIm@lfa:rtvOx@	1	1.000000e+00
Christin	krIstIn	1	1.000000e+00
Christina	krIsti:na	1	1.000000e+00
christlichere	krIstlIC@r@	1	1.000000e+00
Christoph	krIstOf	2	1.000000e+00
Christopher	krIst@f@	2	1.000000e+00
Christus	krIstUs	1	1.000000e+00
chronologischen	kronolo:gISn	1	1.000000e+00
chsten	Csn	1	1.000000e+00
chung	xUN	1	1.000000e+00
circa	tsI6ka	3	1.000000e+00
City	sIti	36	1.000000e+00
Citylight	sItilaIt	1	1.000000e+00
Ciupke	tsUpk@	1	1.000000e+00
ckar	kar	1	1.000000e+00
ckiert	ki:6t	1	1.000000e+00
cl	kl	1	1.000000e+00
Claudia	klaUdja	5	1.000000e+00
Clemens	kle:m@ns	1	1.000000e+00
Clou	klu:	1	1.000000e+00
Clownsschuhe	klaUnsSu:@	1	1.000000e+00
Club	klUp	1	1.000000e+00
Clubs	klUps	1	1.000000e+00
Co	ko	1	1.000000e+00
Coburg	ko:bU6k	4	1.000000e+00
Coca-Cola	ko:kako:la	2	1.000000e+00
Cocktails	kOkte:ls	1	1.000000e+00
codierte	kodi:6t@	1	1.000000e+00
Cognac	kOnjak	1	1.000000e+00
Coke	ko:k	1	1.000000e+00
Cola	ko:la	1	1.000000e+00
Colachen	kola@n	1	1.000000e+00
Colgate	k@UlgeI	1	1.000000e+00
Colina	koli:na	9	1.000000e+00
Com	kOm	1	1.000000e+00
come	kam	2	1.000000e+00
Comfort	kOmfo:6	1	1.000000e+00
Comp	kOmp	1	1.000000e+00
Compaq	kOmpak	1	1.000000e+00
Compiler	kOmpaIl6	1	1.000000e+00
Computer	kOmpju:t6	57	1.000000e+00
Computeranlage	kOmpju:t6anla:g@	1	1.000000e+00
Computerbeschaffung	kOmpju:t6b@SafUN	1	1.000000e+00
Computerbude	kOmpju:t6bu:d@	2	1.000000e+00
Computerfirma	kOmpju:t6fI6ma	1	1.000000e+00
Computerkurs	kOmpju:t6kU6s	1	1.000000e+00
Computermesse	kOmpju:t6mEs@	3	1.000000e+00
Computer-Messe	kOmpju:t6mEs@	1	1.000000e+00
Computern	kOmpju:t6m	1	3.333333e-01
Computern	kOmpju:t6n	1	3.333333e-01
Computern	kOmpju:t6	1	3.333333e-01
Computerprogramm	kOmpju:t6program	1	1.000000e+00
Computers	kOmpju:t6s	1	1.000000e+00
Computershop	kOmpju:t6SOb	1	1.000000e+00
Computerzeug	kOmpju:t6tsOYk	1	1.000000e+00
Concorde-am-Leineschlo"s	kOnkO6tamlaIn@SlOs	4	1.000000e+00
Conesa	kOne:za	5	1.000000e+00
continue	k@ntInju	1	1.000000e+00
Controller	kOntro:l6	1	1.000000e+00
cool	ku:l	15	8.823529e-01
cool	gu:l	2	1.176471e-01
Copy-Shop	kOpiSOp	3	1.000000e+00
Cordelia	kO6de:lja	1	1.000000e+00
Corine	korin@	1	1.000000e+00
counter	kaUnt6	1	1.000000e+00
Cousin	kuzE~:	1	1.000000e+00
Cousine	kuzi:n@	2	1.000000e+00
Cousins	kuzE~:s	1	1.000000e+00
Crazy-for-you	kre:zifO6ju:	1	1.000000e+00
Creperie	krEp@ri:	1	1.000000e+00
Cristal	krIst@l	52	1.000000e+00
Cristal-Hotel	krIst@lhotEl	1	1.000000e+00
Cristial	krIstjal	1	1.000000e+00
Croissant	kroasa~:	1	1.000000e+00
Cross-Validation-Set	krOsvElide:SnsEt	1	1.000000e+00
$C-$S-$S	tse:QEsEs	1	1.000000e+00
CultureBeat	kaltSabi:	1	1.000000e+00
